term    year    instructor  dept    course.id    course.name    section    type    responses    enrollment    resp.rate    hrs.per.week    interst.in.student.learning    exp.goals    clarity    provide.feedback    importance    exp.subject    respect    overall.teaching    overall.course
Spring	2016	PHILLIP COMPEAU	CB	2201	PRGRMMING SCIENTISTS	1	Lect	4	5	80%	13.25	4.75	4.5	4.25	4.25	4.75	4.5	4.75	4.5	4.5
Fall	2016	PHILLIP COMPEAU	CB	2201	PRGRMMING SCIENTISTS	1	Lect	4	4	100%	12.5	4.5	4.5	4.25	3.5	4	4.25	4.75	4.5	3.75
Fall	2014	CARLETON KINGSFORD	CB	2201	PRGRMMING SCIENTISTS	A	Lect	12	17	71%	14.25	4.17	3.67	4.25	3.25	4.25	3.5	4.25	3.67	3.25
Fall	2015	CARLETON KINGSFORD	CB	2201	PRGRMMING SCIENTISTS	1	Lect	5	9	56%	12.8	4.6	4.2	4.2	4	4.6	4.4	4.8	4.4	4.6
Fall	2014	SE YOUNG KIM	CB	2223	PERSND MED OWN GENME	A	Lect	7	11	64%	6.29	3.86	3.14	3.43	2.86	3.71	2.86	4.57	2.86	3
Fall	2012	SE YOUNG KIM	CB	2223	HOW ANLYZ OWN GENME	A	Lect	3	7	43%	6	3.33	3	3	3.33	3.33	3	4	3	3.33
Fall	2013	SE YOUNG KIM	CB	2223	HOW ANLYZ OWN GENME	A	Lect	13	24	54%	3.85	2.85	2.46	2.62	2.46	3.38	2.69	3.85	2.15	2.46
Spring	2016	VALENTIN ILYIN	CB	2250	INTRO TO COMP BIO	W	Lect	15	23	65%	11.54	3.93	3.4	3.27	3.07	3.71	3.07	4.4	3.21	3.21
Spring	2013	"SCHWARTZ, R. (co-taught)"	CB	2250	INTRO COMPTNL BIOLGY	1	Lect	9	16	56%	9	4.22	3.89	3.75	3.44	4	3.78	4.33	3.78	3.44
Spring	2012	"SCHWARTZ, R. (co-taught)"	CB	2250	INTRO COMPTNL BIOLGY	1	Lect	2	3	67%	8	4	4	4	4	4	4	4	4	4
Spring	2014	"SCHWARTZ, R. (co-taught)"	CB	2250	INTRO TO COMP BIO	1	Lect	3	11	27%	7	4	4.33	4	3.67	4	4.33	4.33	4	4
Spring	2015	"SCHWARTZ, R. (co-taught)"	CB	2250	INTRO TO COMP BIO	1	Lect	3	6	50%	6	4.33	4.33	4.33	4	4.67	4.33	4.33	4.33	4.33
Spring	2016	"SCHWARTZ, R. (co-taught)"	CB	2250	INTRO TO COMP BIO	1	Lect	1	6	17%	5	3	3	3	4	5	3	5	4	3
Spring	2016	"Murphy, R. (co-taught)"	CB	2250	INTRO TO COMP BIO	1	Lect	1	6	17%	11	5	4	3	3	5	5	5	5	4
Spring	2013	"Murphy, R. (co-taught)"	CB	2250	INTRO COMPTNL BIOLGY	1	Lect	9	16	56%	9.33	3.22	3.11	3	2.89	3.44	3	3.67	3.22	2.89
Spring	2015	"Murphy, R. (co-taught)"	CB	2250	INTRO TO COMP BIO	1	Lect	3	6	50%	8	4.33	4	4.33	4	4.33	4	4	4	4
Spring	2012	"Murphy, R. (co-taught)"	CB	2250	INTRO COMPTNL BIOLGY	1	Lect	2	3	67%	6.5	4.5	4.5	4.5	4.5	4	4	4.5	4.5	4
Spring	2014	"Murphy, R. (co-taught)"	CB	2250	INTRO TO COMP BIO	1	Lect	3	11	27%	6	4.67	4.33	4.33	4	4.33	4.33	4.67	4.33	4.33
Spring	2013	RUSSELL SCHWARTZ	CB	2251	INTR CMPTNL MLCR BLY	13	Lect	1	2	50%	5	5	5	2	2	5	2	5	3	2
Spring	2014	Robert Murphy	CB	2252	INTRO COMP CELL BIO	14	Lect	1	2	50%	11	3	3	3	4	4	3	3	4	4
Spring	2012	Robert Murphy	CB	2252	INTRO CMPTL CELL BLY	14	Lect	5	11	45%	3.8	4.2	4	4.2	4.2	4.6	4.6	4.2	4.2	4
Spring	2013	Robert Murphy	CB	2252	INTRO CMPTL CELL BLY	14	Lect	1	2	50%	2	5	5	5	5	5	5	5	5	5
Fall	2013	KAREN THICKMAN	CB	2261	QNTV CL MLC BLG LAB	1	Lect	5	10	50%	11	4.6	4.2	4	4	3.8	4.2	4.6	4.4	4
Fall	2013	KAREN THICKMAN	CB	2261	QNTV CL MLC BLG LAB	A	Lect	3	10	30%	10	4.67	5	4.67	4.33	4.33	4.67	4.67	4.67	4.33
Fall	2012	KAREN THICKMAN	CB	2261	QNTV CL MLC BLG LAB	1	Lect	13	21	62%	9.62	4.54	4.15	4.08	4.38	4.46	4.08	4.54	4.31	4
Fall	2014	KAREN THICKMAN	CB	2261	QNTV CL MLC BLG LAB	1	Lect	3	4	75%	9	5	5	4.67	5	5	4.33	4.67	5	4
Fall	2016	JOSHUA KANGAS	CB	2261	QNTV CL MLC BLG LAB	1	Lect	1	5	20%	8	5	5	5	5	5	5	5	5	5
Spring	2016	ZIV BAR-JOSEPH	CB	2317	ALGORITHMS IN NATURE	A	Lect	1	3	33%	8	2	2	4	3	5	4	3	4	4
Fall	2013	ZIV BAR-JOSEPH	CB	2317	ALGORITHMS IN NATURE	A	Lect	1	3	33%	8	5	5	5	4	4	4	5	5	5
Spring	2014	CHRISTOPHER LANGMEAD	CB	2421	ALG COMP STRUCT BIO	A	Lect	3	4	75%	10	4.33	4	4	4	4.67	3.67	4.67	4	4
Fall	2014	"NAIK, A. (co-taught)"	CB	2450	AUTMTN BILOGL RESRCH	A	Lect	4	4	100%	8	5	5	5	4.5	4.75	4.75	4.5	4.67	4.67
Fall	2014	"LANGMEAD, C. (co-taught)"	CB	2450	AUTMTN BILOGL RESRCH	A	Lect	4	4	100%	8	4.75	5	5	4.75	4.75	4.75	4.75	4.75	4.75
Fall	2016	CHRISTOPHER LANGMEAD	CB	2450	AUTMTN BILOGL RESRCH	A	Lect	1	6	17%	8	5	5	5	5	5	5	5	5	5
Spring	2013	ZIV BAR-JOSEPH	CB	2510	COMPUTATNL GENOMICS	A	Lect	2	3	67%	8	2.5	4.5	4	2	5	4.5	4	3.5	3.5
